SL NO,NAME,COUNTRY,INNINGS,RUNS,BALLSFACED,OUTS,AVG,STRIKERATE,HIGHESTSCORE,FIFTIES,HUNDREDS,FOURS,SIXES,DOTPERCENTAGE,BOWLINGINNINGS,OVERS,BOWLINGRUNS,WICKETS,ECONOMY,BOWLINGAVG,BOWLINGSTRIKERATE,FIFERS,BOWLINGFOURS,BOWLINGSIXES,BOWLINGDOTPERCENTAGE,CATCHES,STUMPING
59,Sophia Dunkley,ENGLAND,29,770,930,27,28.5,82.8,107,5,1,75,4,50.6,1,0.3,1,1,2,1,3,0,0,0,133.3,3,0
60,Sarah Glenn,ENGLAND,4,42,62,3,14,67.7,22,0,0,3,0,54.8,11,82.5,363,14,4.38,25.9,35.5,0,29,3,54.7,1,0
61,Nigar Sultana,BANGLADESH,16,364,670,16,22.8,54.3,73,1,0,20,3,63.7,0,0,0,0,0,0,0,0,0,0,0,15,5
62,Rumana Ahmed,BANGLADESH,12,167,261,10,16.7,64,50,1,0,19,0,64.4,14,80.3,291,13,3.61,22.4,37.2,0,19,1,60,6,0
63,Nahida Akter,BANGLADESH,12,54,137,7,7.7,39.4,25,0,0,4,0,74.5,20,242.4,909,27,3.75,33.7,53.9,1,47,3,54.4,4,0
64,Jahanara Alam,BANGLADESH,6,33,49,3,11,67.3,11,0,0,3,0,53.1,18,188,884,16,4.7,55.2,70.5,0,82,3,57,2,0
65,Fahima Khatun,BANGLADESH,10,55,101,7,7.9,54.5,25,0,0,2,0,56.4,15,73.4,322,10,4.37,32.2,44.2,0,23,1,54.3,4,0
66,Murshida Khatun,BANGLADESH,13,272,434,11,24.7,62.7,51,1,0,34,1,67.7,0,0,0,0,0,0,0,0,0,0,0,4,0
67,Sharmin Akther,BANGLADESH,15,372,661,14,26.6,56.3,130,0,1,38,0,66.6,0,0,0,0,0,0,0,0,0,0,0,2,0
68,Rabeya Khan,BANGLADESH,3,15,21,2,7.5,71.4,10,0,0,1,0,47.6,3,21.4,103,4,4.75,25.8,32.5,0,8,0,51.5,1,0
